_id,id,year,state_name,state_code,district_name,district_code,registration_circles,murder_with_rape_gang_rape,dowry_deaths,abetment_to_suicide_of_women,miscarriage,acid_attack,attempt_to_acid_attack,cruelty_by_husband_or_his_relatives,kidnapping_and_abduction,kidnapping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnp_and_abductn_of_women_above_18_for_marrg,kidnp_and_abductn_of_girls_below_18_for_marrg,procuration_of_minor_girls,importation_of_girls_from_foreign,kidnapping_and_abduction_of_women_others,human_trafficking,selling_of_minor_girls,buying_of_minor_girls,rape_women_above_18,rape_girls_below_18,attempt_to_commit_rape_above_18,attempt_to_commit_rape_girls_below_18,assault_on_womenabove_18,assault_on_women_below_18,insult_to_the_modesty_of_women_above_18,insult_to_the_modesty_of_women_below_18,dowry_prohibition,procuring_inducing_children_for_the_sake_of_prostitution,detaining_a_prsn_in_premises_where_prost_is_carried,prostitution_in_or_in_the_vicinity_of_public_places,seducing_or_soliciting_for_purpose_of_prostitution,other_sections_under_itp_act,protection_of_women_from_domestic_violence,publshng_or_transmitting_of_sexually_explicit_mtrl,other_women_centric_cyber_crimes,child_rape,sexual_assault_of_children,child_sexual_harassment,use_of_child_for_pornography,offences_of_pocso_act,pocso_act_unnatural_offences,indecent_representation_of_women,total_crimes,safety_index,safety_score,risk_category
1,0,2017,Andhra Pradesh,28,Ananthapuramu,502,Anantapur,0.0,14.0,55.0,0.0,0.0,0.0,471.0,11.0,0.0,4.0,7.0,25.0,16.0,0.0,3.0,2.0,0.0,0.0,20.0,23.0,10.0,1.0,408.0,9.0,7.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,972.0,1123.0,74.69,Critical
2,1,2017,Andhra Pradesh,28,Chittoor,503,Chittoor,0.0,8.0,24.0,1.0,0.0,0.0,212.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,4.0,5.0,163.0,5.0,12.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,463.0,505.0,33.59,Moderate
3,2,2017,Andhra Pradesh,28,Y.S.R.,504,Cuddapah,0.0,15.0,134.0,0.0,0.0,0.0,481.0,1.0,0.0,0.0,1.0,6.0,15.0,0.0,0.0,2.0,0.0,0.0,23.0,18.0,4.0,2.0,490.0,5.0,59.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,2.0,3.0,0.0,0.0,1.0,0.0,1068.0,1190.0,79.15,Critical
4,3,2017,Andhra Pradesh,28,East Godavari,505,East Godavari,0.0,10.0,18.0,0.0,1.0,0.0,601.0,10.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,19.0,89.0,9.0,3.0,465.0,42.0,124.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1253.0,1552.0,100.0,Critical
5,4,2017,Andhra Pradesh,28,Ananthapuramu,502,Guntakal Railway,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.86,Low
6,5,2017,Andhra Pradesh,28,Guntur,506,Guntur,0.0,14.0,49.0,0.0,0.0,0.0,558.0,7.0,0.0,0.0,2.0,5.0,69.0,0.0,3.0,0.0,0.0,0.0,32.0,58.0,17.0,10.0,301.0,27.0,380.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1275.0,84.8,Critical
7,6,2017,Andhra Pradesh,28,Guntur,506,Guntur Urban,0.0,1.0,35.0,0.0,0.0,0.0,335.0,2.0,0.0,0.0,3.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,5.0,3.0,133.0,25.0,179.0,5.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,548.0,627.0,41.7,High
8,7,2017,Andhra Pradesh,28,Krishna,510,Krishna,0.0,14.0,33.0,0.0,0.0,0.0,620.0,49.0,0.0,0.0,6.0,10.0,0.0,0.0,21.0,0.0,0.0,0.0,35.0,46.0,11.0,7.0,405.0,36.0,215.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1489.0,99.04,Critical
9,8,2017,Andhra Pradesh,28,Kurnool,511,Kurnool,3.0,18.0,68.0,1.0,0.0,0.0,313.0,3.0,0.0,0.0,2.0,15.0,17.0,0.0,3.0,0.0,0.0,0.0,17.0,17.0,6.0,0.0,336.0,3.0,409.0,1.0,395.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,5.0,0.0,0.0,0.0,0.0,1137.0,860.0,57.2,High
10,9,2017,Andhra Pradesh,28,Sri Potti Sriramulu Nellore,515,Nellore,0.0,6.0,28.0,0.0,0.0,0.0,469.0,14.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,15.0,43.0,13.0,2.0,296.0,0.0,88.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,870.0,1043.0,69.37,Critical
11,10,2017,Andhra Pradesh,28,Prakasam,517,Prakasham,0.0,6.0,37.0,0.0,0.0,0.0,598.0,15.0,0.0,0.0,10.0,15.0,5.0,0.0,5.0,10.0,0.0,0.0,35.0,56.0,13.0,0.0,368.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,20.0,20.0,0.0,0.0,0.0,0.0,1203.0,1418.0,94.32,Critical
12,11,2017,Andhra Pradesh,28,East Godavari,505,Rajahmundry,0.0,1.0,12.0,1.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,15.0,11.0,2.0,2.0,92.0,6.0,26.0,5.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,370.0,24.61,Moderate
13,12,2017,Andhra Pradesh,28,Srikakulam,519,Srikakulam,1.0,7.0,18.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,27.0,0.0,0.0,88.0,9.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,370.0,490.0,32.59,Moderate
14,13,2017,Andhra Pradesh,28,Tirupati,752,Tirupathi Urban,0.0,7.0,7.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,15.0,2.0,2.0,81.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,215.0,256.0,17.03,Moderate
15,14,2017,Andhra Pradesh,28,Ntr,749,Vijayawada City,0.0,10.0,14.0,0.0,0.0,0.0,460.0,9.0,0.0,0.0,3.0,7.0,5.0,0.0,0.0,18.0,0.0,0.0,41.0,38.0,1.0,1.0,233.0,42.0,117.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,1129.0,75.09,Critical
16,15,2017,Andhra Pradesh,28,Ntr,749,Vijayawada Railway,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.6,Low
17,16,2017,Andhra Pradesh,28,Visakhapatnam,520,Visakha Rural,0.0,1.0,6.0,0.0,0.0,0.0,116.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,4.0,1.0,142.0,6.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,324.0,433.0,28.8,Moderate
18,17,2017,Andhra Pradesh,28,Visakhapatnam,520,Visakhapatnam,0.0,7.0,16.0,0.0,0.0,0.0,449.0,81.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,63.0,27.0,0.0,0.0,297.0,17.0,75.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,946.0,1301.0,86.53,Critical
19,18,2017,Andhra Pradesh,28,Vizianagaram,521,Vizianagaram,1.0,3.0,7.0,0.0,0.0,0.0,221.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,1.0,97.0,5.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,379.0,488.0,32.46,Moderate
20,19,2017,Andhra Pradesh,28,West Godavari,523,West Godavari,1.0,7.0,33.0,0.0,1.0,0.0,777.0,15.0,0.0,0.0,2.0,22.0,1.0,0.0,24.0,4.0,0.0,0.0,60.0,0.0,23.0,10.0,474.0,6.0,108.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,70.0,53.0,42.0,0.0,0.0,0.0,0.0,1543.0,1567.0,100.0,Critical
21,20,2017,Arunachal Pradesh,12,Anjaw,628,Anjaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.13,Low
22,21,2017,Arunachal Pradesh,12,Changlang,229,Changlang,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,1.13,Low
23,22,2017,Arunachal Pradesh,12,Papum Pare,237,Crime Branch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
24,23,2017,Arunachal Pradesh,12,Dibang Valley,230,Dibang Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.27,Low
25,24,2017,Arunachal Pradesh,12,East Kameng,231,Kameng East,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,23.0,1.53,Low
26,25,2017,Arunachal Pradesh,12,West Kameng,242,Kameng West,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,1.06,Low
27,26,2017,Arunachal Pradesh,12,Kurung Kumey,233,Kurung Kumey,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.2,Low
28,27,2017,Arunachal Pradesh,12,Lohit,234,Lohit,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,1.06,Low
29,28,2017,Arunachal Pradesh,12,Longding,666,Longding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,2.0,Low
30,29,2017,Arunachal Pradesh,12,Lower Dibang Valley,235,Lower Dibang Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.13,Low
31,30,2017,Arunachal Pradesh,12,Papum Pare,237,Papum Pare City,0.0,0.0,2.0,0.0,0.0,0.0,30.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,4.0,8.0,4.0,4.0,27.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,104.0,143.0,9.51,Low
32,31,2017,Arunachal Pradesh,12,Papum Pare,237,Papum Pare Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.8,Low
33,32,2017,Arunachal Pradesh,12,Lower Subansiri,236,Subansiri Lower,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.27,Low
34,33,2017,Arunachal Pradesh,12,Upper Subansiri,241,Subansiri Upper,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0,1.6,Low
35,34,2017,Arunachal Pradesh,12,Tawang,238,Tawang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.27,Low
36,35,2017,Arunachal Pradesh,12,Tirap,239,Tirap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.2,Low
37,36,2017,Arunachal Pradesh,12,Namsai,678,Namsai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,1.0,Low
38,37,2017,Arunachal Pradesh,12,Siang,679,Siang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.8,Low
39,38,2017,Arunachal Pradesh,12,Kamle,718,Kamle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.27,Low
40,39,2017,Arunachal Pradesh,12,Lower Siang,719,Lower Siang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.73,Low
41,40,2017,Assam,18,Kamrup Metro,618,Bieo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
42,41,2017,Assam,18,Barpeta,280,Barpeta,3.0,22.0,0.0,0.0,0.0,0.0,792.0,0.0,0.0,0.0,280.0,54.0,27.0,0.0,0.0,4.0,0.0,0.0,176.0,0.0,52.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,70.0,9.0,0.0,5.0,0.0,0.0,79.0,0.0,1324.0,1854.0,100.0,Critical
43,42,2017,Assam,18,Baksa,616,Baksa,0.0,3.0,0.0,0.0,0.0,0.0,92.0,13.0,6.0,0.0,115.0,0.0,39.0,0.0,8.0,1.0,0.0,0.0,35.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,11.0,1.0,0.0,0.0,0.0,0.0,228.0,316.0,21.02,Moderate
44,43,2017,Assam,18,Bongaigaon,281,Bongaigaon,1.0,9.0,0.0,0.0,0.0,0.0,338.0,2.0,0.0,0.0,89.0,0.0,29.0,0.0,0.0,2.0,0.0,0.0,45.0,0.0,13.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,9.0,1.0,0.0,0.0,0.0,0.0,505.0,618.0,41.11,High
45,44,2017,Assam,18,Kamrup Metro,618,Cid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
46,45,2017,Assam,18,Cachar,282,Cachar,0.0,8.0,0.0,0.0,0.0,0.0,457.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.0,0.0,0.0,51.0,0.0,8.0,0.0,149.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1051.0,1484.0,98.71,Critical
47,46,2017,Assam,18,Chirang,612,Chirang,1.0,0.0,3.0,0.0,0.0,0.0,74.0,13.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,246.0,16.36,Moderate
48,47,2017,Assam,18,Darrang,283,Darrang,0.0,4.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,103.0,0.0,111.0,0.0,32.0,5.0,0.0,0.0,80.0,0.0,18.0,0.0,366.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,21.0,5.0,11.0,0.0,0.0,0.0,0.0,1064.0,1270.0,84.47,Critical
49,48,2017,Assam,18,Dhemaji,284,Dhemaji,5.0,6.0,1.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,48.0,0.0,61.0,0.0,3.0,0.0,2.0,0.0,43.0,0.0,20.0,0.0,98.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,2.0,0.0,0.0,0.0,0.0,351.0,462.0,30.73,Moderate
50,49,2017,Assam,18,Dhubri,285,Dhubri,1.0,15.0,1.0,0.0,0.0,0.0,1054.0,19.0,1.0,2.0,151.0,0.0,136.0,0.0,43.0,9.0,3.0,0.0,81.0,0.0,54.0,0.0,560.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,68.0,18.0,3.0,0.0,0.0,2.0,0.0,1888.0,2062.0,100.0,Critical
51,50,2017,Assam,18,Dibrugarh,286,Dibrugarh,0.0,6.0,8.0,0.0,0.0,0.0,299.0,22.0,0.0,0.0,146.0,0.0,3.0,0.0,80.0,1.0,0.0,0.0,31.0,0.0,2.0,0.0,52.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,475.0,541.0,35.98,High
52,51,2017,Assam,18,Kamrup Metro,618,Grp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.6,Low
53,52,2017,Assam,18,Goalpara,287,Goalpara,0.0,6.0,0.0,0.0,3.0,0.0,123.0,45.0,0.0,1.0,79.0,0.0,43.0,0.0,0.0,2.0,0.0,0.0,48.0,0.0,28.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,368.0,543.0,36.12,High
54,53,2017,Assam,18,Golaghat,288,Golaghat,4.0,1.0,0.0,0.0,0.0,0.0,310.0,55.0,0.0,1.0,75.0,0.0,39.0,0.0,21.0,4.0,0.0,0.0,55.0,0.0,4.0,0.0,122.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,9.0,4.0,0.0,0.0,0.0,0.0,589.0,801.0,53.28,High
55,54,2017,Assam,18,Kamrup Metro,618,Guwahati City,2.0,5.0,11.0,0.0,0.0,0.0,688.0,0.0,0.0,0.0,207.0,0.0,167.0,0.0,0.0,4.0,6.0,0.0,73.0,58.0,6.0,0.0,168.0,30.0,0.0,18.0,45.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,58.0,30.0,18.0,0.0,0.0,0.0,0.0,1191.0,1421.0,94.52,Critical
56,55,2017,Assam,18,Hailakandi,289,Hailakandi,0.0,7.0,0.0,2.0,0.0,0.0,273.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,8.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0,479.0,706.0,46.96,High
57,56,2017,Assam,18,West Karbi Anglong,710,Hamren,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,94.0,6.25,Low
58,57,2017,Assam,18,Jorhat,290,Jorhat,0.0,2.0,0.0,0.0,0.0,0.0,388.0,25.0,0.0,0.0,51.0,15.0,17.0,0.0,80.0,2.0,0.0,0.0,34.0,0.0,12.0,0.0,115.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,7.0,3.0,0.0,0.0,0.0,0.0,614.0,703.0,46.76,High
59,58,2017,Assam,18,Kamrup,291,Kamrup,0.0,3.0,0.0,0.0,0.0,0.0,350.0,8.0,0.0,2.0,41.0,25.0,10.0,0.0,19.0,5.0,0.0,0.0,90.0,0.0,5.0,0.0,44.0,45.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,32.0,1.0,2.0,0.0,0.0,0.0,624.0,799.0,53.14,High
60,59,2017,Assam,18,Karbi Anglong,292,Karbi Anglong,2.0,3.0,0.0,1.0,0.0,0.0,69.0,15.0,0.0,0.0,24.0,1.0,35.0,0.0,6.0,3.0,0.0,0.0,14.0,0.0,1.0,0.0,33.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,150.0,219.0,14.57,Low
61,60,2017,Assam,18,Karimganj,293,Karimganj,1.0,11.0,0.0,0.0,0.0,0.0,259.0,22.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,8.0,0.0,65.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,670.0,44.56,High
